cluster,centroid_lat,centroid_lon,point_count
0,12.979253683105208,77.57703897746578,76639
4,12.941940130775986,77.69572650707936,9111
1,12.918482667358374,77.62479228761153,4819
14,13.00124600801052,77.68261044835006,4182
2,12.967132599948547,77.64806581708258,3887
9,13.038015385115607,77.5839966799133,2768
22,13.185178655109489,77.68041364702816,1918
8,12.9522637568474,77.52761951145891,1789
11,13.070977466794995,77.58888827333975,1039
13,12.914523093245228,77.57452024082232,681
10,12.906173220136518,77.6782842440273,586
15,12.841906826262626,77.64593614545454,495
25,13.096476838394793,77.59817856832971,461
16,13.191163418502203,77.64616435903083,454
35,13.021089087786258,77.59266517302798,393
27,13.047681090673574,77.57547496632124,386
23,12.978952193633953,77.69529087533157,377
33,12.913717305479453,77.60650286301369,365
58,13.121393104229607,77.62225138670695,331
44,13.048210267006802,77.49903697619048,294
51,12.88859370934256,77.56258988927335,289
59,12.989478434959349,77.50272829268293,246
40,12.98712907239819,77.73434797285068,221
61,13.003305775943398,77.59495008018868,212
48,13.04002786904762,77.5179619047619,210
18,13.035050737704918,77.62443681967213,183
76,12.918235527472527,77.65147685164835,182
3,12.934970581005587,77.53649645251396,179
24,13.00815313190184,77.75862616564417,163
75,12.875764799382717,77.59544950617284,162
39,12.973418805732484,77.50852238853503,157
32,13.007653142384106,77.58094241721854,151
31,12.908214812080537,77.60122151677852,149
50,12.907529017006803,77.54640446938775,147
66,12.926780095070423,77.55082357746478,142
7,12.970030147482014,77.74926015107914,139
21,12.83988704379562,77.67713387591242,137
45,13.022213613970587,77.63952195588234,136
26,12.93839404961832,77.57829809923665,131
95,13.070462567460318,77.63178819047619,126
47,12.987030309917355,77.51945820661157,121
49,13.098578258333333,77.58654568333333,120
77,12.873982201680672,77.54124139495798,119
65,12.821015663716814,77.68719694690265,113
63,13.05050237244898,77.52552137755102,98
5,13.050875525773195,77.55275418556701,97
96,13.099070989130434,77.57693970652174,92
88,12.963013576923077,77.73297364835165,91
6,12.90685529775281,77.69650628089887,89
